R,G,B,X,Y
0.529411765,0.678431373,0.768627451,0.010416667,0.0078125
0.537254902,0.68627451,0.776470588,0.010416667,0.015625
0.549019608,0.698039216,0.788235294,0.010416667,0.0234375
0.556862745,0.705882353,0.796078431,0.010416667,0.03125
0.564705882,0.71372549,0.803921569,0.010416667,0.0390625
0.564705882,0.71372549,0.803921569,0.010416667,0.046875
0.560784314,0.709803922,0.8,0.010416667,0.0546875
0.556862745,0.705882353,0.796078431,0.010416667,0.0625
0.568627451,0.717647059,0.807843137,0.010416667,0.0703125
0.568627451,0.717647059,0.807843137,0.010416667,0.078125
0.568627451,0.717647059,0.807843137,0.010416667,0.0859375
0.568627451,0.717647059,0.807843137,0.010416667,0.09375
0.568627451,0.717647059,0.807843137,0.010416667,0.1015625
0.568627451,0.717647059,0.807843137,0.010416667,0.109375
0.568627451,0.717647059,0.807843137,0.010416667,0.1171875
0.568627451,0.717647059,0.807843137,0.010416667,0.125
0.560784314,0.721568627,0.807843137,0.010416667,0.1328125
0.560784314,0.721568627,0.807843137,0.010416667,0.140625
0.560784314,0.721568627,0.807843137,0.010416667,0.1484375
0.564705882,0.725490196,0.811764706,0.010416667,0.15625
0.564705882,0.725490196,0.811764706,0.010416667,0.1640625
0.564705882,0.725490196,0.811764706,0.010416667,0.171875
0.568627451,0.729411765,0.815686275,0.010416667,0.1796875
0.568627451,0.729411765,0.815686275,0.010416667,0.1875
0.57254902,0.733333333,0.819607843,0.010416667,0.1953125
0.57254902,0.733333333,0.819607843,0.010416667,0.203125
0.57254902,0.733333333,0.819607843,0.010416667,0.2109375
0.57254902,0.733333333,0.819607843,0.010416667,0.21875
0.57254902,0.733333333,0.819607843,0.010416667,0.2265625
0.57254902,0.733333333,0.819607843,0.010416667,0.234375
0.57254902,0.733333333,0.819607843,0.010416667,0.2421875
0.568627451,0.733333333,0.819607843,0.010416667,0.25
0.564705882,0.729411765,0.815686275,0.010416667,0.2578125
0.556862745,0.733333333,0.815686275,0.010416667,0.265625
0.556862745,0.733333333,0.815686275,0.010416667,0.2734375
0.560784314,0.737254902,0.819607843,0.010416667,0.28125
0.560784314,0.737254902,0.819607843,0.010416667,0.2890625
0.560784314,0.737254902,0.819607843,0.010416667,0.296875
0.564705882,0.741176471,0.823529412,0.010416667,0.3046875
0.564705882,0.741176471,0.823529412,0.010416667,0.3125
0.568627451,0.745098039,0.82745098,0.010416667,0.3203125
0.568627451,0.745098039,0.82745098,0.010416667,0.328125
